id,magnitude,location,date,longitude,latitude,depth
cent19000105190000000,7,"Southern Sumatra, Indonesia",1/6/1900,102,-3,
cent19000111090700000,7,Bismarck Sea,1/11/1900,148,-5,
official19000112171500000,,"Yakutat Bay, Alaska Earthquakes (Aftershock)",1/13/1900,-140,60,
cent19000120063300000,7.3,"Jalisco, Mexico",1/20/1900,-105,20,
official19000128041500000,,"Yakutat Bay, Alaska Earthquakes (Aftershock)",1/28/1900,-140,60,
ushis387,,"Yakutat Bay, Alaska Earthquakes (Aftershock)",2/17/1900,-140,60,
ushis388,3.4,"Near Berea, Ohio",4/9/1900,-81.85,41.37,0
cent19000511172300000,7,"Northern Honshu, Japan",5/12/1900,141.1,38.7,5
cent19000621205200000,7.2,Costa Rica,6/22/1900,-85.5,10,
cent19000729065900000,7.6,Santa Cruz Islands,7/29/1900,165,-10,
ushis390,4.4,"Near Eureka, Utah",8/1/1900,-112.1,40,
official19000808014500000,,"Yakutat Bay, Alaska Earthquakes (Aftershock)",8/8/1900,-140,60,
official19000809025500000,,"Yakutat Bay, Alaska Earthquakes (Aftershock)",8/9/1900,-140,60,
official19000810051000000,,"Southwestern Yukon, Canada",8/10/1900,-137,61,
official19000810083000000,,"Southwestern Yukon, Canada",8/10/1900,-137,61,
cent19000917214500000,7.1,Bismarck Sea,9/18/1900,148,-5,
eqh19001003001500000,,"Near Cidra, Puerto Rico",10/3/1900,-66.2,18.2,
eqh19001007000000000,,"Near Tyonek, Alaska",10/7/1900,-151,61,
official19001009122400000,7.86,"Kodiak Island region, Alaska",10/9/1900,-151,57.4,20
official19001012152500000,,"Kodiak Island region, Alaska",10/12/1900,-152,58,
official19001014124000000,,"Kodiak Island region, Alaska",10/14/1900,-152,58,
official19001014152500000,,"Kodiak Island region, Alaska",10/14/1900,-152,58,
official19001015181000000,,"Kodiak Island region, Alaska",10/16/1900,-152,58,
official19001015182500000,,"Kodiak Island region, Alaska",10/16/1900,-152,58,
official19001023131000000,,"Kodiak Island region, Alaska",10/23/1900,-152,58,
cent19001029091100000,7.7,Near the coast of Venezuela,10/29/1900,-66,11,
cent19001109161000000,7,Near the coast of El Salvador,11/9/1900,-90,13,
cent19001124075700000,7,Kuril Islands,11/24/1900,148,43.5,35
official19001217143000000,,"Yakutat Bay, Alaska Earthquakes (Aftershock)",12/17/1900,-140,60,
cent19001225050900000,7.1,"Off the coast of Hokkaido, Japan",12/25/1900,146,43,35
ushis392,,"Kodiak Island region, Alaska",12/27/1900,-150,58,
cent19010107002900000,7.2,Near the coast of Ecuador,1/7/1901,-82,-2,
official19010117183000000,,"Kodiak Island region, Alaska",1/18/1901,-152,58,
cent19010118043900000,7.1,"British Columbia-Yukon border, Canada",1/18/1901,-135,60,
official19010119160000000,,"Yakutat Bay, Alaska Earthquakes (Aftershock)",1/20/1901,-140,60,
official19010124140000000,,"Yakutat Bay, Alaska Earthquakes (Aftershock)",1/24/1901,-140,60,
ushis19010301000000000,,"Near Tanana, Alaska",3/1/1901,-152,65,
ushis393,6.4,"Near Parkfield, California",3/3/1901,-120.5,36,
official19010404163000000,,"Kodiak Island region, Alaska",4/5/1901,-152,58,
cent19010405233000000,7.3,Kuril Islands,4/6/1901,149,44.5,35
ushis394,4.2,"Near Portsmouth, Ohio",5/17/1901,-83,38.75,
cent19010525003200000,7.2,Solomon Islands,5/25/1901,160,-10,
cent19010615093400000,7,"Near the east coast of Honshu, Japan",6/15/1901,143,39,35
cent19010624070200000,7.2,"Ryukyu Islands, Japan",6/24/1901,130,28,35
official19010712183000000,,"Near Fairbanks, Alaska",7/13/1901,-147.8,64.8,
official19010724022500000,,"Kodiak Island region, Alaska",7/24/1901,-152,58,
ushis395,5,"Near Elko, Nevada",7/27/1901,-115.7,40.8,
cent19010809092300000,7.2,"Near the east coast of Honshu, Japan",8/9/1901,142.5,40.5,35
cent19010809130100000,7.9,Southeast of the Loyalty Islands,8/9/1901,170,-22,
cent19010809183300000,7.5,"Near the east coast of Honshu, Japan",8/10/1901,142.3,40.6,35
official19010928213000000,,"Yakutat Bay, Alaska Earthquakes (Aftershock)",9/29/1901,-140,60,
official19011008021600000,7.1,Near the coast of Nicaragua,10/8/1901,-86.5,11,
eqh19011022152500000,,"Near Cidra, Puerto Rico",10/22/1901,-66.2,18.2,
uu19011114043900000,6.6,"Near Marysvale, Utah",11/14/1901,-112.4,38.5,
eqh19011115100000000,,"Near Buena Vista, Colorado",11/15/1901,-106.2,38.8,
cent19011125015100000,7,Molucca Sea,11/25/1901,127,3,
cent19011209021700000,7.1,Gulf of California,12/9/1901,-110,26,
cent19011214225700000,7,"Southeastern Luzon, Philippines",12/15/1901,122,14,
ushis398,,"Cook Inlet, Alaska",12/30/1901,-153.5,59.4,
ushis397,7,South of Alaska,12/31/1901,-160,52,
ushis400,7,"Fox Islands, Aleutian Islands, Alaska",1/1/1902,-167.45,52.38,
cent19020112221800000,7,Celebes Sea,1/13/1902,122,3,
official19020118232300000,6.3,"Near Quetzaltenango, Guatemala",1/19/1902,-91.59,14.71,
ushis401,4.5,"Near St. Louis, Missouri",1/24/1902,-90.3,38.6,
